강좌명\학교명,SNU,KAIST,Korea,Postech,SKKU,Google,Microsoft,Amazon,Coursera,Edx,udacity,Udemy,CMU,Berkeley,MIT,Columbia,Cornell,Harvard,Stanford,MarylandCP,MichiganAA,IllinoisUC,Caltech,GeorgiaTech
Signal and Systems,"(1, '전기전자회로')","(1, '디지탈시스템 및 실험')",,,"(1, '전자회로이론')",,,,,,"(0.6, 'Sensor Fusion Engineer')",,,"(1, 'Signal and Systems ')","(1, 'Signals and Systems')","(1, 'Digital Signal Processing')",,"(1, 'design of vlsi circuits and systems')",,,,"(0.5, 'Introduction to Electronics')","(1, 'Deterministic Analysis of Systems and Circuits')","(0.5, 'Prototyping Intelligence Appliances')"
,"(0.5, '데이터 통신')",,,,"(1, 'VLSI설계')",,,,,,,,,,,,,"(1, 'advanced design of vlsi circuits and systems')",,,,"(0.7, 'Analog Signal Processing')",,
,"(0.5, '디지털 신호처리')",,,,"(0.6, '신호처리 및 음성인식')",,,,,,,,,,,,,,,,,"(0.7, 'Digital Signal Processing')",,
,,,,,,,,,,,,,,,,,,,,,,,,
Hardware System Architecture,"(1, '하드웨어시스템설계')","(0.8, '내장형 컴퓨터 시스템')",,,"(0.8, '임베디드 시스템')",,,,,,"(0.7, 'Become a C++ Developer')",,,,,,,"(1, 'computing hardware')",,,,,"(0.5, 'Introduction to Digital Logic and Embedded Systems')",
,,,,,"(0.6, 'SW-HW 통합 설계론')",,,,,,,,,,,,,,,,,,,
Great Ideas in Theoretical Computer Science,,,,,,,,,,,,,"(1, 'Great Ideas in Theoretical Computer Science')",,,,,"(1, 'Great ideas in computer science')",,,,,,
Software Design,"(1, '소프트웨어 개발의 원리와 실습')",,,,,,,,,,,,"(0.7, 'Designing Human Centered Software:')",,"(1, 'Elements of Software Construction')",,,"(1, 'Abstraction and design in computation')","(0.7, 'Object-Oriented Systems Design.')",,"(1, 'Software Development for Accessibility')",,,"(1, 'Software Development Process')"
,,,,,,,,,,,,,,,,,,"(1, 'design of useful and usable interactive systems')",,,,,,
Software Engineering,"(1, '소프트웨어 공학')","(1, '소프트웨어 공학개론')",,,"(0.6, 'SW-HW 통합 설계론')",,,,,,,,,,,,,"(0.6, 'computing foundations for computational science')",,"(1, 'Software Engineering')",,,,"(1, 'Advanced Topics in Software Engineering')"
,,"(1, '소프트웨어 공학')",,,,,,,,,,,,,,,,"(0.5, 'systems development for computational science')",,,,,,
,,"(1, '소프트웨어 시스템 모델링')",,,,,,,,,,,,,,,,,,,,,,
Human-Computer Interaction,,,,,,,,,,,,,,,,,,"(0.8, 'research topics in human-computer interaction')","(1, 'Introduction to Human-Computer Interaction Design.')","(1, 'Introduction to Human-Computer Interaction')",,,,"(1, 'Human-Computer Interaction')"
,,,,,,,,,,,,,,,,,,,"(1, 'Topics in Human-Computer Interaction.')",,,,,
Basic Mathematics,,,,,,,,,,,,"(1, 'Become an Algebra Master')","(1, 'Concepts of Mathematics')",,,,,,,"(1, 'College Algebra and Trigonometry')",,"(1, 'Preparation for Calculus')","(1, 'Introduction to Abstract Algebra ')",
,,,,,,,,,,,,"(1, 'Become a Trigonometry & Precalculus Master')","(1, 'Mathematical Concepts and Proofs')",,,,,,,"(1, 'Precalculus')",,"(1, 'Algebra')",,
,,,,,,,,,,,,"(1, 'Become a Geometry Master')",,,,,,,,"(1, 'Developmental Mathematics')",,,,
Calculus,"(1, '공학수학 1')",,"(1, '미적분 (Calculus)')",,,,,"(0.8, 'Math for Machine Learning')",,,,"(1, 'Become a Calculus 1 Master')","(1, 'Differential and Integral Calculus')","(1, 'Calculus')",,"(0.3, 'CALCULUS I')","(1, 'Calculus for Engineers')","(1, 'Calculus, Series, and Differential Equations')","(1, 'Calculus.')","(0.3, 'Calculus I')","(0.5, 'Calculus I')","(0.3, 'Calculus')","(0.4, 'Differential Equations')",
,"(1, '공학수학 2')",,,,,,,,,,,"(1, 'Calculus I - Introduction to Derivatives')",,"(1, 'Multivariable Calculus')",,"(0.3, 'CALCULUS II')","(1, 'Multivariable Calculus for Engineers')","(0.5, 'Introduction to Functions and Calculus I')","(1, 'Integral Calculus of Several Variables.')","(0.3, 'Calculus II')","(0.5, 'Calculus II')","(0.3, 'Calculus I')","(1, 'Calculus of One and Several Variables and Linear Algebra')",
