강좌명\학교명,SNU,KAIST,Korea,udacity,Udemy,CMU,Berkeley,MIT,GeorgiaTech
,,,,,,,"(1, 'Convex Optimization')",,
Integration and Approximation,,,,,,"(1, 'Integration and Approximation')","(0.3, 'Convex Optimization and Approximation')",,"(0.7, 'Approximation Algorithms')"
Scalability in Machine Learning,,,,,,"(1, 'Scalability in Machine Learning')",,,
Machine Learning for Text Mining,,,,,,"(1, 'Machine Learning for Text Mining')",,,"(0.5, ' Web Search and Text Mining')"
Search Engines,,,,,"(0.7, 'AI:Python을 사용한 텍스트 검색')","(1, 'Search Engines')",,,
Principles of Functional Programming,,,,,,"(1, 'Principles of Functional Programming')","(0.3, 'The Structure and Interpretation of Computer Programs')",,
Mathematical Foundations for Computer Science,,,,,,"(1, 'Mathematical Foundations for Computer Science')",,,
인공지능 이해,"(1, '인공지능 입문')",,,,"(1, '인공 지능이란 무엇인가')","(1, 'Freshman Seminar: Artificial Intelligence and Humanity')",,,
,,,,,"(0.7, '토목 기술자를위한 인공 지능 : 1 부')",,,,
Topics in Artificial Intelligence,,"(1, '인공지능 특강')","(1, '인공지능 특론 I (Advanced Artificial Intelligence I)')",,"(1, 'The Rise of Artificial Intelligence At Work in 2019 & Beyond')","(1, 'AI, Society, and Humanity')",,,"(1, 'AI Storytelling in Virtual Worlds')"
,,,"(1, '인공지능 특론 II (Advanced Artificial Intelligence II)')",,"(1, ""AI, ML & IT's IMPACT ON DIGITAL MARKETING"")","(1, 'Concepts in Artificial Intelligence')",,,
,,,"(1, '인공지능 콜로퀴엄 (Artificial Intelligence Colloquium)')",,"(1, 'AI와 Superintelligence')",,,,
Topics in Deep Learning,"(1, '인공지능 특강')",,"(1, '딥러닝 특론 (Advanced Deep Learning)')",,,"(1, 'Topics in Deep Learning')","(1, 'Special Topics in Deep Learning')",,
,,,"(1, '신경망 응용 및 실습 (Neural Networks Application and Practice..')",,,,,,
Intoduction to Artificial Intelligence,"(1, '인공지능')","(1, '인공지능개론')",,"(1, 'Artificial Intelligence')","(0.5, 'Artificial Intelligence A-Z™: Learn How To Build An AI')","(1, 'Artificial Intelligence: Representation and Problem Solving')","(1, 'Intoduction to Artificial Intelligence')","(1, 'Artificial Intelligence')","(1, 'Introduction to Artificial Intelligence')"
,,,,,"(1, 'Artificial Intelligence I: Basics and Games in Java')",,,,
,,,,,"(1, 'Learning Python Artificial Intelligence by Example')",,,,
